impurity,epsilon,p,delta_a,delta_b,repetition,seed,max_samples,vfdt_delta,grace_period,min_samples_to_split,split_occurred,samples_until_split,first_split_feature,correct_first_split,margin_at_split,threshold_at_split,margin_over_threshold,best_gain,second_best_gain
gini,,0.2,0.08,0.04,0,20260428,20000,0.001,50,100,True,8000,0,True,0.020821757449057454,0.020778226703363874,1.0020950173619259,0.02680381909518159,0.005982061646124137
gini,,0.2,0.08,0.04,1,20260429,20000,0.001,50,100,True,11550,0,True,0.017385582344965567,0.01729268704002249,1.0053719416032962,0.0236961577108874,0.006310575365921833
gini,,0.2,0.08,0.04,2,20260430,20000,0.001,50,100,True,12050,0,True,0.017098321166845287,0.016930116649045753,1.0099352249772606,0.02406963824831121,0.006971317081465922
gini,,0.2,0.08,0.04,3,20260431,20000,0.001,50,100,True,13100,0,True,0.01640579072530779,0.016237449973457642,1.0103674377519454,0.024485058846440144,0.008079268121132355
gini,,0.2,0.08,0.04,4,20260432,20000,0.001,50,100,True,12950,0,True,0.01647063091344214,0.016331218510270393,1.0085365585601633,0.02551581495602162,0.00904518404257948
gini,,0.2,0.08,0.04,5,20260433,20000,0.001,50,100,True,7500,0,True,0.021691695254785648,0.021459660262893473,1.0108126125506933,0.027084080230178054,0.005392384975392406
gini,,0.2,0.08,0.04,6,20260434,20000,0.001,50,100,True,8850,0,True,0.019919737677103755,0.01975521854674099,1.0083278820719452,0.027047466224085936,0.007127728546982182
gini,,0.2,0.08,0.04,7,20260435,20000,0.001,50,100,True,7700,0,True,0.02126397291263049,0.021179129764847343,1.0040059789389444,0.026828888723704925,0.0055649158110744334
gini,,0.2,0.08,0.04,8,20260436,20000,0.001,50,100,True,13550,0,True,0.01610949733698852,0.015965547869760958,1.0090162560284077,0.02353241583136345,0.0074229184943749305
gini,,0.2,0.08,0.04,9,20260437,20000,0.001,50,100,True,9150,0,True,0.01982425708721358,0.019428663517200497,1.0203613372408689,0.024035224819258016,0.004210967732044435
gini,,0.2,0.08,0.04,10,20260438,20000,0.001,50,100,True,7900,0,True,0.02123211155202398,0.020909320916792134,1.0154376431695884,0.028998330808069128,0.007766219256045148
gini,,0.2,0.08,0.04,11,20260439,20000,0.001,50,100,True,7050,0,True,0.02222836047426069,0.02213394953264389,1.0042654358399778,0.026869616911965766,0.004641256437705077
gini,,0.2,0.08,0.04,12,20260440,20000,0.001,50,100,True,13000,0,True,0.01637498532695192,0.016299782064354933,1.0046137587791093,0.02463436882434611,0.00825938349739419
gini,,0.2,0.08,0.04,13,20260441,20000,0.001,50,100,True,5050,0,True,0.02629435383737666,0.026152173260282886,1.0054366639314716,0.03188614538636936,0.005591791548992697
gini,,0.2,0.08,0.04,14,20260442,20000,0.001,50,100,True,10600,0,True,0.01810247465391479,0.018050969867559327,1.002853297453453,0.022668565883504743,0.0045660912295899525
gini,,0.2,0.08,0.04,15,20260443,20000,0.001,50,100,True,9900,0,True,0.01869568705629554,0.01867823678085065,1.0009342571062587,0.02583451719038732,0.007138830134091778
gini,,0.2,0.08,0.04,16,20260444,20000,0.001,50,100,True,8600,0,True,0.020045543867197257,0.020040301370253626,1.0002615977098734,0.025019940381123318,0.00497439651392606
gini,,0.2,0.08,0.04,17,20260445,20000,0.001,50,100,True,10500,0,True,0.018156094892303853,0.018136723176212895,1.001068093497527,0.024259025735734352,0.0061029308434304985
gini,,0.2,0.08,0.04,18,20260446,20000,0.001,50,100,True,8600,0,True,0.02012286296532506,0.020040301370253626,1.0041197781184061,0.025536220160388923,0.0054133571950638615
gini,,0.2,0.08,0.04,19,20260447,20000,0.001,50,100,True,10300,0,True,0.018802335605615506,0.01831196128666128,1.0267789075827405,0.02400630172731344,0.005203966121697934
gini,,0.2,0.08,0.04,20,20260448,20000,0.001,50,100,True,13000,0,True,0.016464378620940745,0.016299782064354933,1.0100980832710493,0.022432597977495083,0.0059682193565543384
gini,,0.2,0.08,0.04,21,20260449,20000,0.001,50,100,True,9350,0,True,0.019353175597084493,0.01921974708523593,1.0069422615842358,0.02396772036839534,0.004614544771310847
gini,,0.2,0.08,0.04,22,20260450,20000,0.001,50,100,True,10250,0,True,0.018402809948642185,0.018356570271852803,1.002518971469321,0.024771324301676723,0.006368514353034538
gini,,0.2,0.08,0.04,23,20260451,20000,0.001,50,100,True,9550,0,True,0.019236098605913687,0.019017428323814468,1.0114984149473771,0.02419880422318732,0.004962705617273633
gini,,0.2,0.08,0.04,24,20260452,20000,0.001,50,100,True,7100,0,True,0.022117840109056597,0.02205587539330369,1.0028094425928666,0.027660060105269113,0.005542219996212516
gini,,0.2,0.08,0.04,25,20260453,20000,0.001,50,100,True,9400,0,True,0.0193939358930888,0.019168562581352314,1.0117574445543316,0.024737114088224987,0.005343178195136189
gini,,0.2,0.08,0.04,26,20260454,20000,0.001,50,100,True,13400,0,True,0.016177464413861253,0.016054658596450663,1.0076492325684048,0.022346106337790106,0.006168641923928853
gini,,0.2,0.08,0.04,27,20260455,20000,0.001,50,100,True,8450,0,True,0.020520784359331357,0.020217391422142045,1.015006532289672,0.024862468622082412,0.0043416842627510555
gini,,0.2,0.08,0.04,28,20260456,20000,0.001,50,100,True,5300,0,True,0.025542108133944863,0.02552792640069047,1.00055553800304,0.03050412137330394,0.0049620132393590755
gini,,0.2,0.08,0.04,29,20260457,20000,0.001,50,100,True,4600,0,True,0.027472880907921438,0.027401513919978106,1.0026044906917095,0.0330004801517777,0.005527599243856263
gini,,0.2,0.08,0.04,30,20260458,20000,0.001,50,100,True,7150,0,True,0.022374304542625456,0.021978621651937834,1.018003080309303,0.02784829255312027,0.005473988010494812
gini,,0.2,0.08,0.04,31,20260459,20000,0.001,50,100,True,7200,0,True,0.022093327264941953,0.021902174040653883,1.0087275913310367,0.02810218499411743,0.006008857729175476
gini,,0.2,0.08,0.04,32,20260460,20000,0.001,50,100,True,14900,0,True,0.01525586964028569,0.015225106515956443,1.0020205523223766,0.022570875403040258,0.007315005762754567
gini,,0.2,0.08,0.04,33,20260461,20000,0.001,50,100,True,7750,0,True,0.02117952412714763,0.021110699441327693,1.0032601802707304,0.026641391979174922,0.005461867852027291
gini,,0.2,0.08,0.04,34,20260462,20000,0.001,50,100,True,8150,0,True,0.02062785987390381,0.02058612803375654,1.0020271825803686,0.026609162500608297,0.005981302626704488
gini,,0.2,0.08,0.04,35,20260463,20000,0.001,50,100,True,13500,0,True,0.016261581662588176,0.01599508637396027,1.0166610721816267,0.024643604129725105,0.00838202246713693
